Date,SO4,NO3,F,Cl,Na,NH4,K,Ca,OC,EC,Si,Sb,Fe,Ba,Zn,Mg,Al,V
4/30/2018 8:54,9.19,1.33,0.6,0,7.07,0.64,3.53,47.7,25.38,2.72,40.63,10.6,1.77,1.77,1.77,1.77,3.53,1.77
4/28/2018 8:39,11.38,1.57,1.01,0,12.4,2.07,12.4,58.92,26.66,9.44,52.72,15.5,6.2,3.1,6.2,0,6.2,0
4/29/2018 8:40,9.54,1.48,0,0,1.49,2.32,1.49,9.69,11.92,0.36,9.69,0.75,0.75,0.75,0.75,0.75,0,0.75
5/2/2018 20:08,10.19,2,0.62,0,1.52,0.42,1.52,18.24,14.76,1.68,21.29,3.04,0,3.04,1.52,1.52,1.52,1.52
5/14/2018 0:20,25.93,0.53,3.23,6.13,541.13,1.38,135.28,4464.35,14.17,61.07,3517.36,676.42,0,270.57,135.28,135.28,270.57,135.28
4/26/2018 12:01,19.44,2,2.31,3.82,5.32,1.64,1.06,36.16,28.69,12.11,26.59,5.32,1.06,2.13,2.13,1.06,2.13,1.06
4/27/2018 7:38,12.76,0.85,0.86,0,3.36,1.91,0,32.95,11.91,4.37,25.56,5.38,0.67,1.35,1.35,0.67,2.69,0.67
5/3/2018 20:34,10.04,0.84,0.12,0,1.49,1.37,0.75,14.18,11.03,0.19,12.69,1.49,0,1.49,0.75,0.75,1.49,0.75
5/4/2018 20:54,7.5,0.58,0,0,2.3,0.54,0,3.07,6.05,3.29,13.82,1.54,0,1.54,0.77,0.77,2.3,0.77
5/5/2018 20:56,9.68,0.59,0.89,0,2.69,1.88,2.69,8.96,7.96,13.73,9.86,0.9,0.9,0.9,0.9,0.9,0.9,0
5/17/2018 19:05,9.53,1.2,0.02,0,3.39,1.3,1.13,16.96,10.68,5.52,21.48,13.57,1.13,1.13,1.13,2.26,2.26,1.13
5/13/2018 0:17,8.13,1.53,0,0.46,5.59,0.46,2.79,41.91,14.61,18.47,44.7,19.56,0,5.59,2.79,5.59,2.79,2.79
5/6/2018 21:05,11.96,0.76,0.24,0,2.2,1.94,0,11.01,5.65,3.26,11.75,5.87,0,0.73,0.73,0.73,0.73,0.73
5/10/2018 23:50,10.01,0.41,0.86,1.05,158.98,0.6,79.49,1271.85,4.85,40.03,1232.1,675.67,0,119.24,79.49,39.75,119.24,39.75
5/8/2018 23:16,21.33,1.8,0.23,0,1.91,3,0.95,18.14,5.35,20.47,18.14,8.59,0,1.91,1.91,0.95,1.91,0.95
5/7/2018 22:50,11.06,0.81,0,0,2.15,0.59,0,12.89,13.13,1.41,15.75,10.02,0,1.43,1.43,0.72,0.72,0.72
5/9/2018 23:34,16.92,2.49,0.64,0,9.72,2.74,2.43,55.88,9.98,13.2,60.74,26.72,2.43,9.72,4.86,4.86,4.86,2.43
5/23/2018 21:29,14.18,2.45,0.36,1.73,0,1.83,6.52,22.83,6.02,22.21,22.83,6.52,0,13.04,3.26,3.26,3.26,3.26
5/25/2018 21:54,13,1.68,0.11,0.68,1.68,1.31,3.37,18.53,7.51,11.36,20.21,5.05,0,6.74,1.68,1.68,1.68,1.68
5/16/2018 19:02,8.54,0.8,0.01,0,0,0.17,3.19,11.16,2.28,4.51,9.57,3.19,0,6.38,1.59,1.59,0,1.59
5/18/2018 19:26,14.54,1.2,0.45,0,1.39,2.04,5.55,11.1,8.81,1.69,13.88,5.55,1.39,1.39,1.39,0,1.39,0
5/20/2018 20:10,20.04,0.97,0.59,0,0.96,2.91,2.88,6.73,4.74,2.63,4.8,1.92,0,0,0,0,0.96,0
5/12/2018 0:06,8.05,0.86,0.54,0,5.52,1.83,5.52,27.62,8.6,10.39,24.86,8.29,2.76,2.76,2.76,2.76,0,2.76
5/27/2018 23:47,7.61,1.32,0.34,1.64,11.83,0.81,7.88,98.56,4.14,20.23,90.68,43.37,3.94,3.94,3.94,3.94,11.83,3.94
5/21/2018 20:21,17.88,1.51,0.76,0,3.02,3.49,0.75,20.35,24.56,1.86,18.84,6.78,0.75,1.51,0.75,1.51,1.51,0.75
5/22/2018 20:25,9.6,1.36,0,0.17,0,1.26,3.61,9.01,5.43,10.25,5.41,1.8,0,5.41,1.8,1.8,0,1.8
5/19/2018 19:59,16.43,0.76,0.01,0,0.96,3.19,0.96,14.33,6.26,1.38,15.28,3.82,0,1.91,0.96,1.91,0.96,0.96
5/24/2018 21:40,17.88,2,0.11,1.03,6.22,1.54,0,59.12,4.65,14.91,65.34,18.67,0,9.33,6.22,3.11,0,3.11
5/15/2018 18:40,11.49,2.33,0.97,0.28,7.29,0.67,7.29,40.11,10.7,18.17,32.82,10.94,3.65,14.59,3.65,7.29,0,3.65
5/26/2018 23:12,7.45,1.22,0.55,0.72,9.18,0,4.59,52.8,1.82,16.12,52.8,27.55,2.3,2.3,0,2.3,4.59,2.3
