DateTime,masdar_roof,field,,
9/6/2017 17:00,66.29,191.97,,
9/13/2017 17:00,44.64,79.37,,
9/20/2017 17:00,128.97,208.33,,
9/27/2017 17:00,59.52,64.48,,
10/4/2017 17:00,29.76,99.21,,
10/11/2017 17:00,114.09,79.37,,
10/18/2017 17:00,64.48,39.68,,
10/26/2017 8:00,69.44,59.52,,
11/1/2017 17:00,59.52,44.64,,
11/8/2017 17:00,74.4,24.8,,
11/15/2017 17:00,34.72,66.14,,
11/22/2017 17:00,34.72,34.72,,
11/29/2017 17:00,69.44,128.97,,
12/6/2017 17:00,79.37,183.53,,
12/13/2017 17:00,34.72,34.72,,`
12/20/2017 17:00,44.64,54.56,,
12/27/2017 17:00,44.64,57.87,,
1/3/2018 17:00,44.64,24.8,,
1/10/2018 17:00,31.42,64.48,,
1/17/2018 17:00,69.44,24.8,,
1/24/2018 17:00,39.68,34.72,,
1/31/2018 17:00,133.93,69.44,,
2/7/2018 17:00,44.64,59.52,,
